Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
East,East_batteries_1,1,1,-2.3215589139084553e-8,-2.3215589139084553e-8
East,East_conventional_hydroelectric_1,1,1,5.411743192362516e-7,5.411743192362516e-7
East,East_landfill_gas_1,1,1,2.8581624472181197e-6,2.8581624472181197e-6
East,East_natural_gas_internal_combustion_engine_1,1,1,3.798979686205563e-6,3.798979686205563e-6
East,East_petroleum_liquids_with_gt_1,1,1,9.69224135403631e-5,9.69224135403631e-5
East,East_petroleum_liquids_with_ic_1,1,1,4.748902767759558e-6,4.748902767759558e-6
East,East_solar_photovoltaic_1,1,1,7.5763285718685164e-6,7.5763285718685164e-6
North,North_conventional_hydroelectric_1,2,1,3.2803917946681447e-6,3.2803917946681447e-6
North,North_landfill_gas_1,2,1,2.858162448434014e-6,2.858162448434014e-6
North,North_natural_gas_internal_combustion_engine_1,2,1,1.8403172193846465e-5,1.8403172193846465e-5
North,North_onshore_wind_turbine_1,2,1,1.9682004653621857e-7,1.9682004653621857e-7
North,North_petroleum_liquids_with_cc_1,2,1,0.000489501147066682,0.000489501147066682
North,North_petroleum_liquids_with_gt_1,2,1,0.00011317395562286835,0.00011317395562286835
North,North_petroleum_liquids_with_st_1,2,1,0.00024176430670835316,0.00024176430670835316
North,North_solar_photovoltaic_1,2,1,2.267827385498511e-6,2.267827385498511e-6
South,South_batteries_1,3,1,-1.0608871626972403e-7,-1.0608871626972403e-7
South,South_conventional_hydroelectric_1,3,1,4.168204657410179e-6,4.168204657410179e-6
South,South_natural_gas_fired_combined_cycle_1,3,1,0.0005262402900701558,0.0005262402900701558
South,South_natural_gas_steam_turbine_1,3,1,0.0007102925711503824,0.0007102925711503824
South,South_onshore_wind_turbine_1,3,1,2.1612155988747017e-5,2.1612155988747017e-5
South,South_petroleum_liquids_with_gt_1,3,1,9.301448069328487e-5,9.301448069328487e-5
South,South_petroleum_liquids_with_st_1,3,1,0.00047968267791631444,0.00047968267791631444
South,South_solar_photovoltaic_1,3,1,6.640949266126287e-6,6.640949266126287e-6
West,West_batteries_1,4,1,-3.7933910887391836e-7,-3.7933910887391836e-7
West,West_petroleum_liquids_with_gt_1,4,1,0.0002603054088697808,0.0002603054088697808
West,West_petroleum_liquids_with_ic_1,4,1,4.273384586238322e-6,4.273384586238322e-6
West,West_solar_photovoltaic_1,4,1,6.681586104572271e-6,6.681586104572271e-6
East,East_battery_moderate_0,1,0,-8.792368312715768e-5,-8.792368312715768e-5
East,East_naturalgas_ctavgcf_moderate_0,1,0,0.00013628795868163702,0.00013628795868163702
East,East_naturalgas_ccavgcf_moderate_0,1,0,0.00026135408109008565,0.00026135408109008565
East,East_microgrid_solar_moderate_0,1,0,0.0,0.0
East,East_microgrid_diesel_moderate_0,1,0,0.0,0.0
East,East_utilitypv_class1_moderate_1,1,1,9.238733062099589e-6,9.238733062099589e-6
East,East_landbasedwind_class3_moderate_1,1,1,5.5437649834837773e-5,5.5437649834837773e-5
North,North_battery_moderate_0,2,0,-8.271975615263057e-5,-8.271975615263057e-5
North,North_naturalgas_ctavgcf_moderate_0,2,0,0.00013707721658271022,0.00013707721658271022
North,North_naturalgas_ccavgcf_moderate_0,2,0,0.0002640654379055176,0.0002640654379055176
North,North_microgrid_solar_moderate_0,2,0,0.0,0.0
North,North_microgrid_diesel_moderate_0,2,0,0.0,0.0
North,North_utilitypv_class1_moderate_1,2,1,1.867956509092973e-5,1.867956509092973e-5
North,North_landbasedwind_class3_moderate_1,2,1,3.671184901966147e-5,3.671184901966147e-5
South,South_battery_moderate_0,3,0,-9.123078124362027e-5,-9.123078124362027e-5
South,South_naturalgas_ctavgcf_moderate_0,3,0,0.00013623625526831232,0.00013623625526831232
South,South_naturalgas_ccavgcf_moderate_0,3,0,0.0002610456100059247,0.0002610456100059247
South,South_microgrid_solar_moderate_0,3,0,0.0,0.0
South,South_microgrid_diesel_moderate_0,3,0,0.0,0.0
South,South_utilitypv_class1_moderate_1,3,1,2.8673015882682005e-5,2.8673015882682005e-5
South,South_landbasedwind_class3_moderate_1,3,1,5.813011737491534e-5,5.813011737491534e-5
West,West_battery_moderate_0,4,0,-8.720735213704926e-5,-8.720735213704926e-5
West,West_naturalgas_ctavgcf_moderate_0,4,0,0.00013690981913634645,0.00013690981913634645
West,West_naturalgas_ccavgcf_moderate_0,4,0,0.00026328458005349734,0.00026328458005349734
West,West_microgrid_solar_moderate_0,4,0,0.0,0.0
West,West_microgrid_diesel_moderate_0,4,0,0.0,0.0
West,West_utilitypv_class1_moderate_1,4,1,2.7646918533597408e-5,2.7646918533597408e-5
West,West_landbasedwind_class3_moderate_1,4,1,4.1012453899474145e-5,4.1012453899474145e-5
North,North_to_south_underground_line,2,0,0.0,0.0
East,North_to_east_underground_line,1,0,0.0,0.0
West,South_to_west_underground_line,4,0,0.0,0.0
