Region,Resource,Zone,Cluster,AnnualSum
East,East_batteries_1,1,1,NaN
East,East_conventional_hydroelectric_1,1,1,NaN
East,East_landfill_gas_1,1,1,NaN
East,East_natural_gas_internal_combustion_engine_1,1,1,NaN
East,East_petroleum_liquids_with_gt_1,1,1,NaN
East,East_petroleum_liquids_with_ic_1,1,1,NaN
East,East_solar_photovoltaic_1,1,1,NaN
North,North_conventional_hydroelectric_1,2,1,NaN
North,North_landfill_gas_1,2,1,NaN
North,North_natural_gas_internal_combustion_engine_1,2,1,NaN
North,North_onshore_wind_turbine_1,2,1,NaN
North,North_petroleum_liquids_with_cc_1,2,1,NaN
North,North_petroleum_liquids_with_gt_1,2,1,NaN
North,North_petroleum_liquids_with_st_1,2,1,NaN
North,North_solar_photovoltaic_1,2,1,NaN
South,South_batteries_1,3,1,NaN
South,South_conventional_hydroelectric_1,3,1,NaN
South,South_natural_gas_fired_combined_cycle_1,3,1,NaN
South,South_natural_gas_steam_turbine_1,3,1,NaN
South,South_onshore_wind_turbine_1,3,1,NaN
South,South_petroleum_liquids_with_gt_1,3,1,NaN
South,South_petroleum_liquids_with_st_1,3,1,NaN
South,South_solar_photovoltaic_1,3,1,NaN
West,West_batteries_1,4,1,NaN
West,West_petroleum_liquids_with_gt_1,4,1,NaN
West,West_petroleum_liquids_with_ic_1,4,1,NaN
West,West_solar_photovoltaic_1,4,1,NaN
East,East_battery_moderate_0,1,0,NaN
East,East_naturalgas_ctavgcf_moderate_0,1,0,NaN
East,East_naturalgas_ccavgcf_moderate_0,1,0,NaN
East,East_microgrid_solar_moderate_0,1,0,NaN
East,East_microgrid_diesel_moderate_0,1,0,NaN
East,East_utilitypv_class1_moderate_1,1,1,NaN
East,East_landbasedwind_class3_moderate_1,1,1,NaN
North,North_battery_moderate_0,2,0,NaN
North,North_naturalgas_ctavgcf_moderate_0,2,0,NaN
North,North_naturalgas_ccavgcf_moderate_0,2,0,NaN
North,North_microgrid_solar_moderate_0,2,0,NaN
North,North_microgrid_diesel_moderate_0,2,0,NaN
North,North_utilitypv_class1_moderate_1,2,1,NaN
North,North_landbasedwind_class3_moderate_1,2,1,NaN
South,South_battery_moderate_0,3,0,NaN
South,South_naturalgas_ctavgcf_moderate_0,3,0,NaN
South,South_naturalgas_ccavgcf_moderate_0,3,0,NaN
South,South_microgrid_solar_moderate_0,3,0,NaN
South,South_microgrid_diesel_moderate_0,3,0,NaN
South,South_utilitypv_class1_moderate_1,3,1,NaN
South,South_landbasedwind_class3_moderate_1,3,1,NaN
West,West_battery_moderate_0,4,0,NaN
West,West_naturalgas_ctavgcf_moderate_0,4,0,NaN
West,West_naturalgas_ccavgcf_moderate_0,4,0,NaN
West,West_microgrid_solar_moderate_0,4,0,NaN
West,West_microgrid_diesel_moderate_0,4,0,NaN
West,West_utilitypv_class1_moderate_1,4,1,NaN
West,West_landbasedwind_class3_moderate_1,4,1,NaN
