Region,Resource,Zone,Cluster,CapRes_1,AnnualSum
East,East_batteries_1,1,1,74.63084156964746,74.63084156964746
East,East_conventional_hydroelectric_1,1,1,159517.38676447887,159517.38676447887
East,East_landfill_gas_1,1,1,375189.7741415451,375189.7741415451
East,East_natural_gas_internal_combustion_engine_1,1,1,500253.03218675964,500253.03218675964
East,East_petroleum_liquids_with_gt_1,1,1,1.96974631424301e7,1.96974631424301e7
East,East_petroleum_liquids_with_ic_1,1,1,625316.290233931,625316.290233931
East,East_solar_photovoltaic_1,1,1,1.1373501507295733e6,1.1373501507295733e6
North,North_conventional_hydroelectric_1,2,1,894264.1222545565,894264.1222545565
North,North_landfill_gas_1,2,1,375189.7741415456,375189.7741415456
North,North_natural_gas_internal_combustion_engine_1,2,1,3.501771225319106e6,3.501771225319106e6
North,North_onshore_wind_turbine_1,2,1,20821.408517799704,20821.408517799704
North,North_petroleum_liquids_with_cc_1,2,1,6.712770375682215e7,6.712770375682215e7
North,North_petroleum_liquids_with_gt_1,2,1,7.630422031603105e7,7.630422031603105e7
North,North_petroleum_liquids_with_st_1,2,1,0.7749485749176792,0.7749485749176792
North,North_solar_photovoltaic_1,2,1,344242.0273015619,344242.0273015619
South,South_batteries_1,3,1,323.4005610742818,323.4005610742818
South,South_conventional_hydroelectric_1,3,1,1.1166216869602518e6,1.1166216869602518e6
South,South_natural_gas_fired_combined_cycle_1,3,1,9.067086208420639e7,9.067086208420639e7
South,South_natural_gas_steam_turbine_1,3,1,1.1968553790181048e8,1.1968553790181048e8
South,South_onshore_wind_turbine_1,3,1,2.5007570887650177e6,2.5007570887650177e6
South,South_petroleum_liquids_with_gt_1,3,1,1.3131642094953015e7,1.3131642094953015e7
South,South_petroleum_liquids_with_st_1,3,1,9.222898496459267e7,9.222898496459267e7
South,South_solar_photovoltaic_1,3,1,996766.6843454472,996766.6843454472
West,West_batteries_1,4,1,1044.8327437971782,1044.8327437971782
West,West_petroleum_liquids_with_gt_1,4,1,3.439239596297413e7,3.439239596297413e7
West,West_petroleum_liquids_with_ic_1,4,1,562784.6612102832,562784.6612102832
West,West_solar_photovoltaic_1,4,1,987383.0927091188,987383.0927091188
East,East_battery_moderate_0,1,0,597893.5434568236,597893.5434568236
East,East_naturalgas_ctavgcf_moderate_0,1,0,0.035095536871028614,0.035095536871028614
East,East_naturalgas_ccavgcf_moderate_0,1,0,0.022422184147568684,0.022422184147568684
East,East_microgrid_solar_moderate_0,1,0,0.0,0.0
East,East_microgrid_diesel_moderate_0,1,0,0.0,0.0
East,East_utilitypv_class1_moderate_1,1,1,1.4023819507171793e6,1.4023819507171793e6
East,East_landbasedwind_class3_moderate_1,1,1,5.864696733377029e6,5.864696733377029e6
North,North_battery_moderate_0,2,0,1.6620782865542626e7,1.6620782865542626e7
North,North_naturalgas_ctavgcf_moderate_0,2,0,0.035096492288464086,0.035096492288464086
North,North_naturalgas_ccavgcf_moderate_0,2,0,0.022423022395815784,0.022423022395815784
North,North_microgrid_solar_moderate_0,2,0,0.0,0.0
North,North_microgrid_diesel_moderate_0,2,0,0.0,0.0
North,North_utilitypv_class1_moderate_1,2,1,2.803690765660021e6,2.803690765660021e6
North,North_landbasedwind_class3_moderate_1,2,1,4.247952708936701e6,4.247952708936701e6
South,South_battery_moderate_0,3,0,109.4279004507621,109.4279004507621
South,South_naturalgas_ctavgcf_moderate_0,3,0,0.035094190715263276,0.035094190715263276
South,South_naturalgas_ccavgcf_moderate_0,3,0,0.02242102560535354,0.02242102560535354
South,South_microgrid_solar_moderate_0,3,0,0.0,0.0
South,South_microgrid_diesel_moderate_0,3,0,0.0,0.0
South,South_utilitypv_class1_moderate_1,3,1,4.304361749875001e6,4.304361749875001e6
South,South_landbasedwind_class3_moderate_1,3,1,6.226848014585548e6,6.226848014585548e6
West,West_battery_moderate_0,4,0,581369.0415943449,581369.0415943449
West,West_naturalgas_ctavgcf_moderate_0,4,0,0.03509545030724533,0.03509545030724533
West,West_naturalgas_ccavgcf_moderate_0,4,0,0.022422081841667427,0.022422081841667427
West,West_microgrid_solar_moderate_0,4,0,0.0,0.0
West,West_microgrid_diesel_moderate_0,4,0,0.0,0.0
West,West_utilitypv_class1_moderate_1,4,1,4.085571819705544e6,4.085571819705544e6
West,West_landbasedwind_class3_moderate_1,4,1,4.473272193356575e6,4.473272193356575e6
North,North_to_south_underground_line,2,0,0.0,0.0
East,North_to_east_underground_line,1,0,0.0,0.0
West,South_to_west_underground_line,4,0,0.0,0.0
